unitid,institution_name,year,state,HBCU,institution_sector,FTE,federal_app,state_app,academic_support,total_rev,fed_grants,core_expenses,grad_rate
100654,Alabama A & M University,2022,Alabama,Yes,"Public, 4-year or above",5549,4151771,53817222,6216069,213968238,10886800,197667444,13
100724,Alabama State University,2022,Alabama,Yes,"Public, 4-year or above",3581,0,55021738,17613184,173916291,9303072,150220501,14
100858,Auburn University,2022,Alabama,No,"Public, 4-year or above",28491,0,289742794,159868807,1201744560,1519065,1036268551,56
101879,University of North Alabama,2022,Alabama,No,"Public, 4-year or above",7143,0,48108331,6929570,146464636,160742,134698629,30
130934,Delaware State University,2022,Delaware,Yes,"Public, 4-year or above",5173,0,40111250,5002922,228038505,6465323,176527941,32
131399,University of the District of Columbia,2022,District of Columbia,Yes,"Public, 4-year or above",2369,0,93958734,17708028,183882623,40121817,190484205,28
133650,Florida Agricultural and Mechanical University,2022,Florida,Yes,"Public, 4-year or above",8410,0,123814618,90516248,368030265,9154142,333590580,35
138354,University of West Florida,2022,Florida,No,"Public, 4-year or above",9403,0,87491158,29365974,246976513,14754595,214225527,36
138716,Albany State University,2022,Georgia,Yes,"Public, 4-year or above",5234,0,32529060,7027735,149600129,31085861,116432912,18
139719,Fort Valley State University,2022,Georgia,Yes,"Public, 4-year or above",2373,6318321,26855945,15132885,104841747,7819093,84243835,22
139764,Georgia Southwestern State University,2022,Georgia,No,"Public, 4-year or above",2349,0,15786168,3589922,51503206,3311545,41986656,20
139931,Georgia Southern University,2022,Georgia,No,"Public, 4-year or above",21781,0,141305523,53255318,576019420,34953479,372528461,31
140960,Savannah State University,2022,Georgia,Yes,"Public, 4-year or above",2638,0,21617068,8813699,101298340,14750554,73007419,16
157058,Kentucky State University,2022,Kentucky,Yes,"Public, 4-year or above",1444,0,28096903,1451877,87877073,430466,81706353,18
157085,University of Kentucky,2022,Kentucky,No,"Public, 4-year or above",29122,0,271317200,136056830,4823196679,27136134,1902861132,52
159009,Grambling State University,2022,Louisiana,Yes,"Public, 4-year or above",4337,0,15968408,3109071,127935165,986185,91574732,14
159391,Louisiana State University and Agricultural & Mechanical College,2022,Louisiana,No,"Public, 4-year or above",33528,0,268336065,123767587,1357284255,29107124,911169999,44
159647,Louisiana Tech University,2022,Louisiana,No,"Public, 4-year or above",9096,0,42077739,17967314,208618959,10515486,141708586,42
160621,Southern University and A & M College,2022,Louisiana,Yes,"Public, 4-year or above",6202,0,35793845,19962055,218861416,13960877,169261359,11
162007,Bowie State University,2022,Maryland,Yes,"Public, 4-year or above",5354,0,50797785,36211525,183503008,21836654,146075535,18
162283,Coppin State University,2022,Maryland,Yes,"Public, 4-year or above",1643,0,47982333,8999229,109288046,4798607,96075722,9
162584,Frostburg State University,2022,Maryland,No,"Public, 4-year or above",3294,0,45259664,11023025,155736846,7639469,102987247,29
163268,University of Maryland-Baltimore County,2022,Maryland,No,"Public, 4-year or above",12328,0,160916933,31841445,534625667,14050698,428575192,47
163286,University of Maryland-College Park,2022,Maryland,No,"Public, 4-year or above",37934,0,594786981,211745116,2355521543,4521382,1883235115,74
163338,University of Maryland Eastern Shore,2022,Maryland,Yes,"Public, 4-year or above",2256,0,47440459,8366947,157462285,7467647,111829456,21
163453,Morgan State University,2022,Maryland,Yes,"Public, 4-year or above",8543,0,116846437,31067493,321484518,1784942,275468468,22
163851,Salisbury University,2022,Maryland,No,"Public, 4-year or above",6611,0,63903645,20894061,198185078,8796530,156503463,50
164076,Towson University,2022,Maryland,No,"Public, 4-year or above",17349,0,147389274,42490087,524801816,26111615,378946644,48
175342,Alcorn State University,2022,Mississippi,Yes,"Public, 4-year or above",2478,0,25686223,6427045,102867766,924529,80571079,32
175616,Delta State University,2022,Mississippi,No,"Public, 4-year or above",2007,0,21048003,5230125,71850791,3947489,62622001,29
175856,Jackson State University,2022,Mississippi,Yes,"Public, 4-year or above",5815,0,43507603,9065240,212899587,8270613,163528611,26
176035,Mississippi University for Women,2022,Mississippi,No,"Public, 4-year or above",1933,0,15665872,11524729,73649310,4010391,58333653,29
176044,Mississippi Valley State University,2022,Mississippi,Yes,"Public, 4-year or above",1438,0,15444423,7446144,63597780,651368,50526408,15
176372,University of Southern Mississippi,2022,Mississippi,No,"Public, 4-year or above",11399,0,89085790,27793178,385105901,19992976,323715449,38
