unitid,institution_name,year,state,HBCU,institution_sector,FTE,federal_app,state_app,academic_support,total_rev,fed_grants,core_expenses,grad_rate
177551,Harris-Stowe State University,2022,Missouri,Yes,"Public, 4-year or above",1004,0,12431200,2643524,51141604,104474,40484301,10
177940,Lincoln University,2022,Missouri,Yes,"Public, 4-year or above",1475,11500535,22566652,3835123,73239926,2246186,57033312,17
178420,University of Missouri-St Louis,2022,Missouri,No,"Public, 4-year or above",9116,0,59007367,28983152,249286801,12725612,224457189,31
179566,Missouri State University-Springfield,2022,Missouri,No,"Public, 4-year or above",16831,0,87850410,26856416,394323325,22026561,305737438,40
197869,Appalachian State University,2022,North Carolina,No,"Public, 4-year or above",19073,0,167255437,46776701,563375550,16716451,317705550,58
198464,East Carolina University,2022,North Carolina,No,"Public, 4-year or above",23008,0,329264475,44842568,1080157346,27768303,585076932,45
198507,Elizabeth City State University,2022,North Carolina,Yes,"Public, 4-year or above",1899,0,42557796,3938781,90622670,8888807,71810225,24
198543,Fayetteville State University,2022,North Carolina,Yes,"Public, 4-year or above",5346,0,63937019,12858902,161188779,16882138,113347486,28
199102,North Carolina A & T State University,2022,North Carolina,Yes,"Public, 4-year or above",12261,0,114318189,55224002,448856087,36763328,279383373,34
199148,University of North Carolina at Greensboro,2022,North Carolina,No,"Public, 4-year or above",15231,0,189186045,48589364,502908667,31687031,376981326,38
199281,University of North Carolina at Pembroke,2022,North Carolina,No,"Public, 4-year or above",5897,0,96532488,19342516,206315381,17590384,132576665,25
199999,Winston-Salem State University,2022,North Carolina,Yes,"Public, 4-year or above",4537,0,66938698,12578201,197103617,1662412,132840699,35
201690,Central State University,2022,Ohio,Yes,"Public, 4-year or above",4059,0,15278647,8030557,99541421,1475959,81094212,15
206604,Wright State University-Main Campus,2022,Ohio,No,"Public, 4-year or above",7626,0,84400216,25161688,298077237,13884975,207428289,27
211608,Cheyney University of Pennsylvania,2022,Pennsylvania,Yes,"Public, 4-year or above",652,609505,13324853,3981303,39167499,1901914,25057825,8
213020,Indiana University of Pennsylvania-Main Campus,2022,Pennsylvania,No,"Public, 4-year or above",7590,2870341,54503062,17673641,231556391,14027121,178109752,38
213598,Lincoln University,2022,Pennsylvania,Yes,"Public, 4-year or above",1740,,,,,,,30
216764,West Chester University of Pennsylvania,2022,Pennsylvania,No,"Public, 4-year or above",14991,2341473,62256371,42005319,305294597,1405927,273694742,51
217882,Clemson University,2022,South Carolina,No,"Public, 4-year or above",26310,12470775,156829601,85047996,1345859776,19042877,994375218,66
218733,South Carolina State University,2022,South Carolina,Yes,"Public, 4-year or above",2428,0,31316600,5327686,113860485,7425003,102729426,18
221740,The University of Tennessee-Chattanooga,2022,Tennessee,No,"Public, 4-year or above",10258,0,68009417,24607122,258615829,15999834,219025757,36
221838,Tennessee State University,2022,Tennessee,Yes,"Public, 4-year or above",8058,0,59264609,13066784,259124264,37690352,208774299,21
224147,Texas A & M University-Corpus Christi,2022,Texas,No,"Public, 4-year or above",8183,0,77253822,42759889,241886115,10239751,280833675,19
227526,Prairie View A & M University,2022,Texas,Yes,"Public, 4-year or above",8157,7997486,60453410,28956251,318816794,39264160,323495069,16
228459,Texas State University,2022,Texas,No,"Public, 4-year or above",33401,0,191004623,61351068,859037808,50054083,688072694,35
229063,Texas Southern University,2022,Texas,Yes,"Public, 4-year or above",7660,0,70290509,11969249,276275143,18255789,264087970,11
232186,George Mason University,2022,Virginia,No,"Public, 4-year or above",31666,0,215430369,106765447,1184773632,34254938,958468281,49
232423,James Madison University,2022,Virginia,No,"Public, 4-year or above",20853,0,139724714,56270543,681250242,16400573,441769095,66
232566,Longwood University,2022,Virginia,No,"Public, 4-year or above",3620,0,42310830,9420908,154797693,7545194,84579514,52
232937,Norfolk State University,2022,Virginia,Yes,"Public, 4-year or above",5246,0,92268101,19765324,225612083,11027311,166644564,18
234155,Virginia State University,2022,Virginia,Yes,"Public, 4-year or above",4426,0,71091901,8323038,205407391,11652412,148083967,24
237215,Bluefield State University,2022,West Virginia,Yes,"Public, 4-year or above",1113,0,6287473,1362827,27542400,74321,22298793,31
237525,Marshall University,2022,West Virginia,No,"Public, 4-year or above",9108,0,57362095,30137601,297248328,14586828,267718171,34
237899,West Virginia State University,2022,West Virginia,Yes,"Public, 4-year or above",2358,0,14122566,1207024,54635035,327829,47019274,23
238032,West Virginia University,2022,West Virginia,No,"Public, 4-year or above",22854,0,165737945,53088651,1209458599,29426955,1073273748,43
486840,Kennesaw State University,2022,Georgia,No,"Public, 4-year or above",35421,0,187171258,81910020,754933672,54559440,553218820,19
